priority_rank,content_hash_id,decline_probability,reason_codes,recommended_action
123,content_20ee5b1177431dd4,0.8405892515733987,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
124,content_516c893fe9ce06bb,0.840455081105302,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
125,content_72d288197b85b313,0.8403136019354398,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
126,content_40ceba62cad27f81,0.8399840045993956,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
127,content_7a7acb8944e3b66d,0.8388314786375687,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
128,content_6f944380e131e110,0.8387005109072075,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
129,content_63aef37c2e117fc2,0.8380347295562033,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
130,content_f48c7db29e712b61,0.8380197557016936,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
131,content_e93bfe2aeda97077,0.8379330400624312,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
132,content_c82857c37d758931,0.8378987271938533,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
133,content_960912417dc01fe2,0.83783446651656,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
134,content_b15a88eecea29b4b,0.8375151318467641,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
135,content_8df22201d24dfb92,0.8373838175432827,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
136,content_b53ba2927867357e,0.8373380115803308,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
137,content_806eddbe58b6317a,0.8372475762372953,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
138,content_bc6cec5ec10f8312,0.8371187807483462,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
139,content_e713608463bcd041,0.8370856088509321,Low query breadth (over-reliant on few queries),Expand coverage: add missing subtopics/sections to earn more query variety
140,content_2c05284fb40e7b81,0.8369489222966168,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
141,content_f4b46ebb900e625e,0.8368701031554657,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
142,content_b13b13d196b49f72,0.8367154209769075,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
143,content_392cc6a09b81e969,0.8365480547564057,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
144,content_04bba3f22dfd2918,0.8362621177911751,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
145,content_08be4bfe9d6773b8,0.8362068666912661,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
146,content_47227fc1290234b4,0.8356415770585063,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
147,content_3aebc8ff157b33f3,0.835528177034368,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
148,content_10f1b3b4eefdebf1,0.8354146859836393,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
149,content_74be1d50ba27d8ff,0.8352040903565309,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
